TICKER,Security,GICS-Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/99,6281,1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969
AON,Aon,Financials,Insurance Brokers,"London, UK",4/23/96,315293,1919
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,1841666,1954
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",3/16/95,6951,1967
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",12/24/12,1521332,1994
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",11/1/22,947484,1995
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",3/4/57,7084,1902
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/16,354190,1927
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",4/10/07,1267238,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,732717,1885
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,731802,1906
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",12/1/89,769397,1982
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",3/31/81,8670,1949
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1/2/97,866787,1979
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",1/10/07,915912,1978
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",12/31/87,8818,1990
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",5/4/23,1069183,1993
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,1701605,2017
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",10/31/84,9389,1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,1874
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/95,1390777,1784
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",9/30/83,701985,1963
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/20,12208,1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/21,842023,1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/03,875045,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/11,1364742,1988
BX,Blackstone,Financials,Asset Management & Custody Banks,"New York City, New York",9/18/23,1393818,1985
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",3/4/57,12927,1916
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",11/6/09,1075531,1996
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/95,885725,1979
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",3/4/57,14272,1887
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"Palo Alto, California",5/8/14,1730168,1961
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/21,79282,1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,1870
